epoch,acc,loss,val_acc,val_loss
0,0.72477645,0.569079027,0.808519721,0.497073889
1,0.81532466,0.476358658,0.81385684,0.347197443
2,0.81621826,0.463660635,0.817884445,0.532553196
3,0.81766355,0.453222829,0.818166316,0.444042444
4,0.8218269,0.428119957,0.822983682,0.311721355
5,0.82406193,0.398815637,0.833984733,0.365478128
6,0.8424434,0.370385848,0.850962818,0.258960992
7,0.8502201,0.358144068,0.854978919,0.325748354
8,0.851919,0.35134597,0.857626855,0.347734123
9,0.85300034,0.352146677,0.857792854,0.359171629
10,0.85746175,0.336522357,0.862108648,0.398901373
11,0.8571117,0.337650113,0.862124622,0.437117577
12,0.8617855,0.3249872,0.864851177,0.372930646
13,0.86191505,0.330170366,0.864423633,0.329694241
14,0.86037046,0.330895472,0.865225017,0.38276574
15,0.8691082,0.311109781,0.870174348,0.345259547
16,0.8713429,0.309244054,0.867742538,0.351793528
17,0.87558216,0.298784852,0.881161809,0.284604669
18,0.87931293,0.28888424,0.866618574,0.320566773
19,0.8746561,0.296025966,0.881428242,0.33261922
20,0.8635687,0.320915021,0.867737234,0.405950218
21,0.87121886,0.304985138,0.875151575,0.261813313
22,0.8798445,0.288368652,0.883889079,0.344465166
23,0.8811202,0.286648172,0.882055461,0.244839549
24,0.8784615,0.290460098,0.878353179,0.315856189
25,0.88444364,0.277381904,0.890787542,0.259141803
26,0.88832694,0.270465682,0.888208926,0.284867883
27,0.8884938,0.269129964,0.89082855,0.176640406
28,0.8940509,0.257683325,0.896869421,0.247985199
29,0.8928537,0.261748094,0.896589458,0.281737596
30,0.89513713,0.257181486,0.894990206,0.299683839
31,0.89852774,0.248070807,0.899908066,0.216939673
32,0.89819175,0.248131124,0.888053358,0.312422007
33,0.8932615,0.261689985,0.900801897,0.272921175
34,0.8996683,0.245953675,0.903937101,0.190637827
35,0.90277636,0.239159294,0.908570766,0.251761436
36,0.90551054,0.232177252,0.905541062,0.264019787
37,0.901739,0.242087218,0.904509485,0.222490147
38,0.90122294,0.242967927,0.906313181,0.217983723
39,0.90387595,0.237298194,0.895972073,0.265476853
40,0.9021147,0.239883829,0.911317229,0.2655963
41,0.9070652,0.229941021,0.909803987,0.209639654
42,0.90922517,0.2227529,0.91188252,0.219411567
43,0.9137322,0.21331194,0.916700542,0.224621654
44,0.913544,0.213177082,0.916228652,0.148580015
45,0.9171744,0.204343089,0.922828972,0.23455739
46,0.9181176,0.200383001,0.916074395,0.190609336
47,0.9185304,0.20099656,0.920833826,0.216675937
48,0.91930336,0.197460493,0.918133318,0.166480571
49,0.9214339,0.193467721,0.924051404,0.199055448
50,0.9214417,0.193429704,0.925312281,0.181792617
51,0.92609876,0.18189951,0.927055657,0.215960741
52,0.91353077,0.21217988,0.914912641,0.165169358
53,0.91343975,0.211720723,0.920294106,0.176425144
54,0.9198565,0.198017022,0.925351441,0.159971952
55,0.9221397,0.191933313,0.927411377,0.175627723
56,0.92359424,0.188334569,0.928074658,0.186665252
57,0.9290177,0.173458112,0.93413645,0.192882285
58,0.9331193,0.16342295,0.935029507,0.219990984
59,0.9359816,0.155277984,0.938462734,0.166490927
60,0.9376291,0.15090088,0.939200044,0.203805447
61,0.93871105,0.148273546,0.939498723,0.111259222
62,0.93869036,0.148734226,0.938933909,0.159647688
63,0.9396008,0.145458218,0.942685068,0.088360302
64,0.94269,0.138229558,0.943555474,0.093478262
65,0.94464266,0.132587847,0.947775781,0.181481645
66,0.94720155,0.126593742,0.949550867,0.101653062
67,0.9492238,0.121058694,0.949404001,0.156839728
68,0.94852185,0.122479282,0.951198399,0.168628335
69,0.9506184,0.117226725,0.95270592,0.108328961
70,0.95203876,0.113703257,0.954016089,0.10536132
71,0.9535361,0.109644337,0.954485774,0.108556055
72,0.9544987,0.108212079,0.95614481,0.039145235
73,0.9534165,0.110479817,0.95564127,0.165225849
74,0.9546592,0.106960324,0.954327404,0.136248186
75,0.9560082,0.103898385,0.958083689,0.09988448
76,0.95754313,0.101470619,0.958813369,0.127045512
77,0.9575234,0.101333814,0.958310664,0.097179063
78,0.95769876,0.100451683,0.961034119,0.052371439
79,0.9607124,0.092097635,0.963327944,0.133582041
80,0.96110064,0.091171388,0.960750043,0.079814173
81,0.961926,0.089216617,0.964004099,0.064216278
82,0.9638712,0.084828137,0.964131773,0.124970652
83,0.9614269,0.093003412,0.959459007,0.087258637
84,0.9605128,0.094224187,0.963343501,0.079224102
85,0.9626535,0.088321956,0.963539004,0.135056034
86,0.96424377,0.084668706,0.967089415,0.062748872
87,0.9662671,0.079765054,0.968462944,0.086059682
88,0.9677216,0.075902523,0.969916463,0.059894193
89,0.9696865,0.071274171,0.971361279,0.098476678
90,0.9689905,0.073159836,0.969984829,0.095263638
91,0.9685411,0.074535286,0.968169272,0.057291668
92,0.9656494,0.08205881,0.965570271,0.097919069
93,0.9627937,0.091491438,0.961762488,0.105651401
94,0.9631487,0.088264293,0.968081355,0.078571357
95,0.9671851,0.077823844,0.96891284,0.072306268
96,0.9681353,0.075558075,0.96941793,0.054778513
97,0.9699366,0.071384627,0.971636057,0.096411526
98,0.9723728,0.065182473,0.974207938,0.03255029
99,0.97373486,0.061932777,0.974210501,0.077561237
100,0.97451895,0.060128441,0.972542942,0.121981263
101,0.9735089,0.062522087,0.975250542,0.054987337
102,0.9749851,0.0588314,0.976034522,0.042742595
103,0.9760067,0.056668813,0.976240873,0.069379702
104,0.97639894,0.055495417,0.976884484,0.067770183
105,0.97637826,0.055754711,0.975986719,0.032218337
106,0.97335786,0.062487088,0.973087788,0.041370563
107,0.9739118,0.061495055,0.975499988,0.04376246
108,0.975463,0.057840421,0.976759017,0.078929208
109,0.97585267,0.05687831,0.977653086,0.039215047
110,0.9775463,0.05291929,0.979054987,0.023453301
111,0.96273243,0.094112302,0.907447636,0.1564316
112,0.92831266,0.180746319,0.939402997,0.195850775
113,0.9446706,0.135743429,0.957538128,0.113066189
114,0.9613633,0.092749396,0.967262268,0.088559784
115,0.97001505,0.070919673,0.974108696,0.089632429
